Absolute path,Relative path,Class
D:\lab1\new_directory\leopard_0002.jpg,new_directory\leopard_0002.jpg,leopard
D:\lab1\new_directory\leopard_0003.jpg,new_directory\leopard_0003.jpg,leopard
D:\lab1\new_directory\leopard_0004.jpg,new_directory\leopard_0004.jpg,leopard
D:\lab1\new_directory\leopard_0005.jpg,new_directory\leopard_0005.jpg,leopard
D:\lab1\new_directory\leopard_0006.jpg,new_directory\leopard_0006.jpg,leopard
D:\lab1\new_directory\leopard_0007.jpg,new_directory\leopard_0007.jpg,leopard
D:\lab1\new_directory\leopard_0008.jpg,new_directory\leopard_0008.jpg,leopard
D:\lab1\new_directory\leopard_0009.jpg,new_directory\leopard_0009.jpg,leopard
D:\lab1\new_directory\leopard_0010.jpg,new_directory\leopard_0010.jpg,leopard
D:\lab1\new_directory\leopard_0011.jpg,new_directory\leopard_0011.jpg,leopard
D:\lab1\new_directory\leopard_0012.jpg,new_directory\leopard_0012.jpg,leopard
D:\lab1\new_directory\leopard_0013.jpg,new_directory\leopard_0013.jpg,leopard
D:\lab1\new_directory\leopard_0014.jpg,new_directory\leopard_0014.jpg,leopard
D:\lab1\new_directory\leopard_0015.jpg,new_directory\leopard_0015.jpg,leopard
D:\lab1\new_directory\leopard_0016.jpg,new_directory\leopard_0016.jpg,leopard
D:\lab1\new_directory\leopard_0017.jpg,new_directory\leopard_0017.jpg,leopard
D:\lab1\new_directory\leopard_0018.jpg,new_directory\leopard_0018.jpg,leopard
D:\lab1\new_directory\leopard_0019.jpg,new_directory\leopard_0019.jpg,leopard
D:\lab1\new_directory\leopard_0020.jpg,new_directory\leopard_0020.jpg,leopard
D:\lab1\new_directory\leopard_0021.jpg,new_directory\leopard_0021.jpg,leopard
D:\lab1\new_directory\leopard_0022.jpg,new_directory\leopard_0022.jpg,leopard
D:\lab1\new_directory\leopard_0023.jpg,new_directory\leopard_0023.jpg,leopard
D:\lab1\new_directory\leopard_0024.jpg,new_directory\leopard_0024.jpg,leopard
D:\lab1\new_directory\leopard_0025.jpg,new_directory\leopard_0025.jpg,leopard
D:\lab1\new_directory\leopard_0026.jpg,new_directory\leopard_0026.jpg,leopard
D:\lab1\new_directory\leopard_0027.jpg,new_directory\leopard_0027.jpg,leopard
D:\lab1\new_directory\leopard_0028.jpg,new_directory\leopard_0028.jpg,leopard
D:\lab1\new_directory\leopard_0029.jpg,new_directory\leopard_0029.jpg,leopard
D:\lab1\new_directory\leopard_0030.jpg,new_directory\leopard_0030.jpg,leopard
D:\lab1\new_directory\leopard_0031.jpg,new_directory\leopard_0031.jpg,leopard
D:\lab1\new_directory\leopard_0032.jpg,new_directory\leopard_0032.jpg,leopard
D:\lab1\new_directory\leopard_0033.jpg,new_directory\leopard_0033.jpg,leopard
D:\lab1\new_directory\leopard_0034.jpg,new_directory\leopard_0034.jpg,leopard
D:\lab1\new_directory\leopard_0035.jpg,new_directory\leopard_0035.jpg,leopard
D:\lab1\new_directory\leopard_0036.jpg,new_directory\leopard_0036.jpg,leopard
D:\lab1\new_directory\leopard_0037.jpg,new_directory\leopard_0037.jpg,leopard
D:\lab1\new_directory\leopard_0038.jpg,new_directory\leopard_0038.jpg,leopard
D:\lab1\new_directory\leopard_0039.jpg,new_directory\leopard_0039.jpg,leopard
D:\lab1\new_directory\leopard_0040.jpg,new_directory\leopard_0040.jpg,leopard
D:\lab1\new_directory\leopard_0041.jpg,new_directory\leopard_0041.jpg,leopard
D:\lab1\new_directory\leopard_0042.jpg,new_directory\leopard_0042.jpg,leopard
D:\lab1\new_directory\leopard_0043.jpg,new_directory\leopard_0043.jpg,leopard
D:\lab1\new_directory\leopard_0044.jpg,new_directory\leopard_0044.jpg,leopard
D:\lab1\new_directory\leopard_0045.jpg,new_directory\leopard_0045.jpg,leopard
D:\lab1\new_directory\leopard_0046.jpg,new_directory\leopard_0046.jpg,leopard
D:\lab1\new_directory\leopard_0047.jpg,new_directory\leopard_0047.jpg,leopard
D:\lab1\new_directory\leopard_0048.jpg,new_directory\leopard_0048.jpg,leopard
D:\lab1\new_directory\leopard_0049.jpg,new_directory\leopard_0049.jpg,leopard
D:\lab1\new_directory\leopard_0050.jpg,new_directory\leopard_0050.jpg,leopard
D:\lab1\new_directory\leopard_0051.jpg,new_directory\leopard_0051.jpg,leopard
D:\lab1\new_directory\leopard_0052.jpg,new_directory\leopard_0052.jpg,leopard
D:\lab1\new_directory\leopard_0053.jpg,new_directory\leopard_0053.jpg,leopard
D:\lab1\new_directory\leopard_0054.jpg,new_directory\leopard_0054.jpg,leopard
D:\lab1\new_directory\leopard_0055.jpg,new_directory\leopard_0055.jpg,leopard
D:\lab1\new_directory\leopard_0056.jpg,new_directory\leopard_0056.jpg,leopard
D:\lab1\new_directory\leopard_0057.jpg,new_directory\leopard_0057.jpg,leopard
D:\lab1\new_directory\leopard_0058.jpg,new_directory\leopard_0058.jpg,leopard
D:\lab1\new_directory\leopard_0059.jpg,new_directory\leopard_0059.jpg,leopard
D:\lab1\new_directory\leopard_0060.jpg,new_directory\leopard_0060.jpg,leopard
D:\lab1\new_directory\leopard_0061.jpg,new_directory\leopard_0061.jpg,leopard
D:\lab1\new_directory\leopard_0062.jpg,new_directory\leopard_0062.jpg,leopard
D:\lab1\new_directory\leopard_0063.jpg,new_directory\leopard_0063.jpg,leopard
D:\lab1\new_directory\leopard_0064.jpg,new_directory\leopard_0064.jpg,leopard
D:\lab1\new_directory\leopard_0065.jpg,new_directory\leopard_0065.jpg,leopard
D:\lab1\new_directory\leopard_0066.jpg,new_directory\leopard_0066.jpg,leopard
D:\lab1\new_directory\leopard_0067.jpg,new_directory\leopard_0067.jpg,leopard
